菜名	简介	食材-主料	食材-配料	制作步骤	URL
糖醋笨蛋	适合早餐，配碗粥，非常美味。	笨鸡蛋, 3个	白糖, 少许; 醋, 少许; 盐, 少许; 油, 适量	1. 锅内放入适量的油。待油热把鸡蛋直接打入锅内。2. 待一面煎至金黄色，翻面。待两面都剪成金黄色出锅备用。3. 锅内放入少许油，放入煎好的鸡蛋，浇入调好的糖醋汁，待汁收净，出锅装盘。	http://www.haodou.com/recipe/54220
蒜香烧烤酱版叉烧肉	这是一款，至少到目前为止让我比较有成就感的烤肉，第一次做便成功了，软软的肉，满口的酱香，很让人回味。	梅花肉, 750克	蒜香烧烤酱, 250克; 料酒, 1大勺; 姜粉, 1小勺	1. 准备750克猪梅花肉。2. 将肉切成厚2cm、宽4cm的块并拭干水分。3. 准备蒜香烧烤酱250克、料酒1大勺、姜粉1小勺。4. 将蒜香烧烤酱250克、料酒1大勺、姜粉1小勺放入碗中并拌匀。5. 切好的肉放入酱料中。6. 盖盖儿，放冰箱保鲜层腌制1-2天7. 烤箱预热5分钟。趁着这个时间，在烤盘内铺上一层锡纸，放在烤箱的最下层。然后将腌好的肉放在烤架上，放于烤箱的中下层，以200度的温度，烤约35--40分钟左右即可。中间可以翻面1-2次，并刷上剩余的酱料。	http://www.haodou.com/recipe/54207
西红柿鸡蛋	西红柿炒鸡蛋谁都吃过呀 可是你发现没有，各家各户的做法好像均不一样 所以做出的口味也都各不相同 鱼鱼把自家的西红柿炒鸡蛋的做法分享一下吧	西红柿, 2个鸡蛋, 2个; 	食用油, 适量; 盐, 1小勺; 糖, 1汤匙	1. 西红柿两个洗净2. 切成块3. 鸡蛋2个打散，如果炒熟4. 放入切好的西红柿翻炒5. 带西红柿析出很多汤汁时，调入盐和糖出锅即可	http://www.haodou.com/recipe/54199
番茄鸡蛋	西红柿炒鸡蛋谁都吃过呀 可是你发现没有，各家各户的做法好像均不一样 所以做出的口味也都各不相同 鱼鱼把自家的西红柿炒鸡蛋的做法分享一下吧	西红柿, 2个鸡蛋, 2个; 	食用油, 适量; 盐, 1小勺; 糖, 1汤匙	1. 西红柿两个洗净2. 切成块3. 鸡蛋2个打散，如果炒熟4. 放入切好的西红柿翻炒5. 带西红柿析出很多汤汁时，调入盐和糖出锅即可	http://www.haodou.com/recipe/54199
番茄炒鸡蛋	西红柿炒鸡蛋谁都吃过呀 可是你发现没有，各家各户的做法好像均不一样 所以做出的口味也都各不相同 鱼鱼把自家的西红柿炒鸡蛋的做法分享一下吧	西红柿, 2个鸡蛋, 2个; 	食用油, 适量; 盐, 1小勺; 糖, 1汤匙	1. 西红柿两个洗净2. 切成块3. 鸡蛋2个打散，如果炒熟4. 放入切好的西红柿翻炒5. 带西红柿析出很多汤汁时，调入盐和糖出锅即可	http://www.haodou.com/recipe/54199
番茄炒蛋	西红柿炒鸡蛋谁都吃过呀 可是你发现没有，各家各户的做法好像均不一样 所以做出的口味也都各不相同 鱼鱼把自家的西红柿炒鸡蛋的做法分享一下吧	西红柿, 2个鸡蛋, 2个; 	食用油, 适量; 盐, 1小勺; 糖, 1汤匙	1. 西红柿两个洗净2. 切成块3. 鸡蛋2个打散，如果炒熟4. 放入切好的西红柿翻炒5. 带西红柿析出很多汤汁时，调入盐和糖出锅即可	http://www.haodou.com/recipe/54199
西红柿炒鸡蛋	西红柿炒鸡蛋谁都吃过呀 可是你发现没有，各家各户的做法好像均不一样 所以做出的口味也都各不相同 鱼鱼把自家的西红柿炒鸡蛋的做法分享一下吧	西红柿, 2个鸡蛋, 2个; 	食用油, 适量; 盐, 1小勺; 糖, 1汤匙	1. 西红柿两个洗净2. 切成块3. 鸡蛋2个打散，如果炒熟4. 放入切好的西红柿翻炒5. 带西红柿析出很多汤汁时，调入盐和糖出锅即可	http://www.haodou.com/recipe/54199
西红柿炒蛋	西红柿炒鸡蛋谁都吃过呀 可是你发现没有，各家各户的做法好像均不一样 所以做出的口味也都各不相同 鱼鱼把自家的西红柿炒鸡蛋的做法分享一下吧	西红柿, 2个鸡蛋, 2个; 	食用油, 适量; 盐, 1小勺; 糖, 1汤匙	1. 西红柿两个洗净2. 切成块3. 鸡蛋2个打散，如果炒熟4. 放入切好的西红柿翻炒5. 带西红柿析出很多汤汁时，调入盐和糖出锅即可	http://www.haodou.com/recipe/54199
木耳炒鸡蛋	家常小炒，营养丰富。木耳富含多种氨基酸，有利于人体吸收。	干木耳, 50克; 鸡蛋, 3个	盐, 适量; 五香粉, 适量; 葱姜末, 适量; 味精, 少许	1. 干木耳泡发后摘成小朵。2. 鸡蛋打入碗中觉散。3. 锅里放油烧热，将鸡蛋煎熟盛出。4. 锅里再放底油，下葱姜末煸出香味，下木耳加少许高汤翻炒一分钟，下入煎好的鸡蛋，加盐、五香粉翻炒。5. 加少许味精出锅。	http://www.haodou.com/recipe/54215
木耳炒蛋	家常小炒，营养丰富。木耳富含多种氨基酸，有利于人体吸收。	干木耳, 50克; 鸡蛋, 3个	盐, 适量; 五香粉, 适量; 葱姜末, 适量; 味精, 少许	1. 干木耳泡发后摘成小朵。2. 鸡蛋打入碗中觉散。3. 锅里放油烧热，将鸡蛋煎熟盛出。4. 锅里再放底油，下葱姜末煸出香味，下木耳加少许高汤翻炒一分钟，下入煎好的鸡蛋，加盐、五香粉翻炒。5. 加少许味精出锅。	http://www.haodou.com/recipe/54215
木耳鸡蛋	家常小炒，营养丰富。木耳富含多种氨基酸，有利于人体吸收。	干木耳, 50克; 鸡蛋, 3个	盐, 适量; 五香粉, 适量; 葱姜末, 适量; 味精, 少许	1. 干木耳泡发后摘成小朵。2. 鸡蛋打入碗中觉散。3. 锅里放油烧热，将鸡蛋煎熟盛出。4. 锅里再放底油，下葱姜末煸出香味，下木耳加少许高汤翻炒一分钟，下入煎好的鸡蛋，加盐、五香粉翻炒。5. 加少许味精出锅。	http://www.haodou.com/recipe/54215
香煎刀鱼	带鱼含碘、铁、钠、钙、磷、蛋白质、脂肪、维生素A、维生素B1、维生素B2等，具有补气养血、强筋健骨、通经活络等功效，此菜有补气养血的功效。适宜产妇食用，有利养身、健体并可调节情绪。	刀鱼, 3条	料酒, 2大勺; 生抽, 2大勺; 胡椒粉, 1大勺; 精盐, 1大勺; 植物油, 适量	1. 刀鱼去头去尾用水洗净，切块，放入盆中。2. 放入料酒，生抽，胡椒粉，精盐腌制30分钟。3. 锅中放入适量的植物油，油8成热后放入刀鱼。4. 煎到两面金黄即可出锅。	http://www.haodou.com/recipe/53854
蔬菜炖粉条-首发	鱼鱼中午忙乱的时候对付自己的快手菜之一便是这个蔬菜炖粉条 蔬菜可以让你保持活力 粉条可以裹腹 所以这样的一碗菜菜当作午餐，其实也是不错的选择	丝瓜, 1条	五花肉, 几片; 生菜, 几片; 粉条, 1小把; 盐, 1小勺; 鸡精, 0.25小勺; 葱, 适量	1. 五花肉切几片备用2. 丝瓜去皮洗净切块3. 粉丝泡在冷水中4. 锅内放入五花肉片小火煸出油脂5. 利用煸出的油脂炒香葱花6. 加入丝瓜炒香7. 倒入1碗水，煮开8. 加入粉条炖软9. 最后加入生菜叶子，调入盐和鸡精即可出锅	http://www.haodou.com/recipe/54197
香酥花生米	鲜香酥脆，满口留香。	花生米, 250克【消耗约50克】; 面粉, 100克; 鸡蛋, 一个	盐, 适量; 五香粉, 适量; 糖, 适量; 食用油, 200克【耗50克】	1. 花生米洗净，沥干水。2. 鸡蛋打散。3. 将花生米倒入蛋液中，加糖、五香粉、盐拌匀。4. 加入面粉。5. 搅拌均匀，使面粉裹在花生米上。6. 锅内放油，少6成热，下入花生米。7. 炸成金黄色出锅。	http://www.haodou.com/recipe/53857
虾仁鸡肉卷	这是一款配料丰富的菜，很适合做给自己的宝贝吃。	鸡肉碎, 1碗; 虾仁, 1/2碗; 鸡蛋, 5个; 胡萝卜, 1小段	豆油, 1小勺; 葱末, 1g; 姜末, 1g; 酱油, 1/2小勺; 盐, 1小勺; 花椒粉, 1/4小勺; 胡椒粉, 1/4小勺	1. 准备一碗鸡肉碎、1/2碗泡好的虾仁、5个鸡蛋和一小段胡萝卜（这个图片上没有）；并把虾仁、胡萝卜切碎和鸡肉碎放盆中，放入豆油1小勺、葱末1克、姜末1克、酱油1/2小勺、盐1小勺、花椒粉1/4小勺、胡椒粉1/4小勺调成馅。2. 鸡蛋打好后放入锅中煎成薄薄的的蛋饼。3. 把拌好的陷放鸡蛋饼上并卷起。4. 全部卷好后排入蒸锅中。5. 大火烧开小火蒸20分钟。6. 取出切成片并排入盘中。	http://www.haodou.com/recipe/53874
五仁炒饭	跟妈咪学的，很有营养，几种坚果放在一起炒出五仁炒饭真是很香呢~~	隔夜饭, 2两; 核桃, 3个; 大枣, 3个; 栗子, 6个; 熟花生, 约12个; 葡萄干, 10个; 鸡蛋, 1个	橄榄油, 8克; 盐, 3克	1. 原料：剩饭，鸡蛋，大枣，熟花生，核桃，栗子，葡萄干。（其它坚果也可以，如杏仁）大枣，核桃，葡萄干提前用水泡一会儿洗净。2. 大枣，核桃切丝，栗子，花生剁小碎。3. 鸡蛋打入剩饭里，加入少量盐，搅拌好，让米饭充分吸收蛋液。4. 凉锅烧热油，先放入核桃炒熟，再倒入大枣炒香，最后放剩下的余料。5. 加入米饭炒至粒粒分明即可。	http://www.haodou.com/recipe/53766
香辣孜然牛肉片	牛肉含有丰富的蛋白质，氨基酸组成比猪肉更接近人体需要，能提高机体抗病能力，牛肉蛋白质含量高，而脂肪含量低，所以味道鲜美，受人喜爱，享有“肉中骄子”的美称。 我家儿子是羊肉串控，特爱吃，隔三差五的就得给他做点吃。	牛肉, 500克	孜然粉, 1/2小勺; 五香粉, 1/2小勺; 芝麻, 2大勺; 孜然, 1大勺; 辣椒面, 2大勺; 精盐, 1/2小勺; 味精, 1/2小勺; 料酒, 1小勺; 胡椒粉, 1小勺; 鸡蛋清, 1个; 水淀粉, 1大勺; 色拉油, 1大饭勺	1. 牛肉500克。2. 牛肉切成片（注意切牛肉要横纹切）。 3. 放入孜然粉。4. 放入五香粉。5. 放入芝麻，孜然，辣椒面，加盐，味精，料酒，胡椒粉，鸡蛋清，水淀粉抓匀，再加上少许色拉油使劲抓透 。（放至一个小时入味）。6. 锅内加少许油，放入腌制好的牛肉片翻炒。7. 炒至牛肉片快要熟的时候放入芝麻孜然辣椒面，快速翻炒至出锅。8. 炒好的孜然肉片。	http://www.haodou.com/recipe/53726
手擀面	这款“连汤面条”是在家时妈妈最常做给我们吃的，只要有一碗面条，哪怕没有菜，都会让我们吃的很饱很香！	白菜, 几叶; 胡萝卜, 一小段; 手擀面, 500克; 葱末, 1克; 姜末, 1克	花椒粉, 1克; 胡椒粉, 1克; 精盐, 一小勺	1. 准备白菜几叶。2. 手擀面适量。3. 胡萝卜一段。4. 把白菜和胡萝卜切成丝。5. 爆香葱姜末后放入白菜丝、胡萝卜丝及花椒粉、胡椒粉翻炒。6. 白菜变软之后放入足量水。7. 水沸后放入手擀面，煮熟面条，出锅前放入盐调味。 	http://www.haodou.com/recipe/53700
蓑衣黄瓜	如果不削皮会更好看，不过不削皮不敢吃呀	黄瓜, 80g	蒜, 10g; 姜, 10g; 朝天椒, 3g; 醋, 适量; 糖, 适量; 鸡精, 适量; 麻香油, 适量; 盐, 适量	1. 将黄瓜洗净去两头，削皮2. 然后放在案板上，再在案板上黄瓜两边放2根筷子夹住黄瓜；刀刃与筷子呈45度角斜着下刀将黄瓜切成片，切到筷子处即停，切完一面后将黄瓜翻个身再同样切完；3. 用少量食盐将切好的黄瓜片腌2-3分钟，用凉水洗净表面的食盐4. 将朝天椒切成碎、生姜、大蒜压成泥，5. 将适量的醋、白糖、鸡精、香麻油调入小碗后拌匀6. 将调好的调料水倒入切好的黄瓜内	http://www.haodou.com/recipe/51870
土豆汤	土豆营养丰富，土豆中的蛋白质比大豆还好，最接近动物蛋白。土豆还含丰富的赖氨酸和色氨酸，这是一般粮食所不可比的。土豆还是富含钾、锌、铁的食物。所含的钾可预防脑血管破裂。它所含的蛋白质和维生素C，均为苹果的10倍，维生素B1、B2、铁和磷含量也比苹果高得多。从营养角度看，它的营养价值相当于苹果的3.5倍。	土豆, 2个; 黄瓜, 一根	葱花, 20克; 水淀粉, 1大勺; 植物油, 酌量; 精盐, 1/2小勺; 生抽, 一大勺; 十三香, 1/4小勺; 鸡精, 1/2小勺	1. 土豆2个去皮，清洗干净。2. 用擦板插成细丝。3. 葱花，黄瓜准备好。4. 水淀粉1大勺，放入适量清水搅匀。5. 黄瓜也擦成细丝。6. 锅中放油，油开后放入葱花爆香。7. 填入适量的清水，水开后倒入土豆丝，煮7--8分钟。8. 然后倒入黄瓜丝，放入精盐，生抽，十三香调味。9. 淋入水淀粉，出锅前放入鸡精。	http://www.haodou.com/recipe/53742
