西红柿炒蛋  -首发	西红柿炒鸡蛋谁都吃过呀 可是你发现没有，各家各户的做法好像均不一样 所以做出的口味也都各不相同 鱼鱼把自家的西红柿炒鸡蛋的做法分享一下吧	西红柿, 2个	鸡蛋, 2个; 食用油, 适量; 盐, 1小勺; 糖, 1汤匙	1. 西红柿两个洗净2. 切成块3. 鸡蛋2个打散，如果炒熟4. 放入切好的西红柿翻炒 带西红柿析出很多汤汁时，调入盐和糖出锅即可
木耳炒鸡蛋	家常小炒，营养丰富。木耳富含多种氨基酸，有利于人体吸收。	干木耳, 50克; 鸡蛋, 3个	盐, 适量; 五香粉, 适量; 葱姜末, 适量; 味精, 少许	1. 干木耳泡发后摘成小朵。2. 鸡蛋打入碗中觉散。3. 锅里放油烧热，将鸡蛋煎熟盛出。4. 锅里再放底油，下葱姜末煸出香味，下木耳加少许高汤翻炒一分钟，下入煎好的鸡蛋，加盐、五香粉翻炒。5. 加少许味精出锅。
香酥花生米	鲜香酥脆，满口留香。	花生米, 250克【消耗约50克】; 面粉, 100克; 鸡蛋, 一个	盐, 适量; 五香粉, 适量; 糖, 适量; 食用油, 200克【耗50克】	1. 花生米洗净，沥干水。2. 鸡蛋打散。3. 将花生米倒入蛋液中，加糖、五香粉、盐拌匀。4. 加入面粉。5. 搅拌均匀，使面粉裹在花生米上。6. 锅内放油，少6成热，下入花生米。7. 炸成金黄色出锅。	http://www.haodou.com/recipe/53857
虾仁鸡肉卷	这是一款配料丰富的菜，很适合做给自己的宝贝吃。	鸡肉碎, 1碗; 虾仁, 1/2碗; 鸡蛋, 5个; 胡萝卜, 1小段	豆油, 1小勺; 葱末, 1g; 姜末, 1g; 酱油, 1/2小勺; 盐, 1小勺; 花椒粉, 1/4小勺; 胡椒粉, 1/4小勺	1. 准备一碗鸡肉碎、1/2碗泡好的虾仁、5个鸡蛋和一小段胡萝卜（这个图片上没有）；并把虾仁、胡萝卜切碎和鸡肉碎放盆中，放入豆油1小勺、葱末1克、姜末1克、酱油1/2小勺、盐1小勺、花椒粉1/4小勺、胡椒粉1/4小勺调成馅。2. 鸡蛋打好后放入锅中煎成薄薄的的蛋饼。3. 把拌好的陷放鸡蛋饼上并卷起。4. 全部卷好后排入蒸锅中。5. 大火烧开小火蒸20分钟。6. 取出切成片并排入盘中。	http://www.haodou.com/recipe/53874
蓑衣黄瓜	如果不削皮会更好看，不过不削皮不敢吃呀	黄瓜, 80g	蒜, 10g; 姜, 10g; 朝天椒, 3g; 醋, 适量; 糖, 适量; 鸡精, 适量; 麻香油, 适量; 盐, 适量	1. 将黄瓜洗净去两头，削皮 2. 然后放在案板上，再在案板上黄瓜两边放2根筷子夹住黄瓜；刀刃与筷子呈45度角斜着下刀将黄瓜切成片，切到筷子处即停，切完一面后将黄瓜翻个身再同样切完；3. 用少量食盐将切好的黄瓜片腌2-3分钟，用凉水洗净表面的食盐4. 将朝天椒切成碎、生姜、大蒜压成泥，5. 将适量的醋、白糖、鸡精、香麻油调入小碗后拌匀6. 将调好的调料水倒入切好的黄瓜内	http://www.haodou.com/recipe/51870
木耳炒腐竹	排毒解腻的营养小炒，黑木耳非常适合与豆制品一起搭配，它们能分散、沉淀血液中的胆固醇，使其转化为对人体有益的物质。	木耳, 150g; 腐竹, 200g	葱, 5g; 姜, 3g; 蒜, 3g; 盐, 1勺; 味精, 1/2勺; 酱油, 1/2勺; 油, 50ml; 淀粉, 30g	1. 把准备好的木耳提前3小时左右用冷水泡发，腐竹提前2小时左右用温水泡发2. 热锅放油，下入葱花、生姜与大蒜爆香3. 锅内放入腐竹与黑木耳，快速翻炒4. 放入适量的盐 、味精、酱油快速地炒匀后倒入水淀粉勾薄芡即可		http://www.haodou.com/recipe/52413
甜香玉米烙	在人类所有的主食中，玉米的营养价值和保健作用是最高的。主要表现在：维生素含量非常高，钙含量接近乳制品，可降低人体胆固醇，具有防癌抗癌作用，粗粮细吃提高营养。	炼乳, 10g	玉米罐头, 适量; 糯米粉, 适量; 生粉, 适量; 白糖, 适量	1. 玉米罐打开后，把玉米粒取出冲洗下，然后控干水分放入碗中；加入10克炼乳拌匀2. 再加入生粉与糯米粉拌匀(生粉与糯米粉比例为3：1）。生粉与糯米粉还有水的用量要根据你所需材料而定。如果是玉米罐头，因为湿，所以生粉与糯米粉要多，水可以不放；原则上是要把玉米粒与粉和成团；3. 平底锅中加入适量的油，先加热约七八成热，然后倒出来放入一个耐热的碗中备用4. 锅中留少许底油，改小火。把拌好的玉米粒的糊盛入锅中，用勺子按平。我们一定要把玉米团推开，按平后，见玉米粒之间可以粘在一起了，放入刚才加热到七八成热的油，不够可以补几勺油5. 转中火加热，在保证不糊的状态下，尽量大火，这样可以帮助快速定型。此时不要用小火了，小火定型慢容易散，而且还容易让更多的油浸入到玉米中。炸约5-6分钟，至金黄熟透，出锅	http://www.haodou.com/recipe/51867
四色虾饺	鲜香美味，既有山珍【木耳】，又有海味【虾】，既有蔬菜，又有肉类，营养非常丰富，是老少皆宜的美味。	虾仁, 200克; 猪绞肉, 100克; 鸡蛋, 一个; 油菜, 100克; 胡萝卜, 半根; 木耳, 一小把; 面粉, 300克	油, 适量; 盐, 适量; 鸡精, 适量; 生抽, 适量; 胡椒粉, 适量; 葱姜末, 适量	1. 将虾仁的虾线挑出。2. 将虾仁斩成虾泥。3. 加葱末盐、油、鸡精调成馅。4. 油菜焯水后切成末，加盐、油、鸡精调成馅。5. 木耳泡发后切末。6. 胡萝卜洗净切末。7. 鸡蛋加少许盐打匀，锅里加少许油，将鸡蛋煎成蛋皮。8. 蛋皮切成末。9. 肉馅加葱姜末、生抽、胡椒粉、盐、鸡精拌成馅。10. 一半肉馅加胡箩卜拌匀。11. 另一半肉馅加入木耳末拌匀。12. 面粉用温水和成软面团，省10分钟。13. 揪成小面剂，擀成饺子皮。14. 包入虾，中间捏起，再对捏。15. 四角分别塞入木耳馅、鸡蛋末、胡萝卜馅、油菜馅。16. 包好后放笼屉中篜15分钟.17. 装盘即可。	http://www.haodou.com/recipe/53751
清炒西兰花	碧绿脆嫩，咸鲜适口。常吃西兰花有爽喉、开音、润肺、止咳的功效。	西兰花, 500g	葱, 5g; 姜, 3g; 蒜, 3g; 盐, 1勺; 味精, 1/2勺; 油, 50ml	1. 先将西兰花掰成小朵,西兰花放入开水中焯一下2. 锅中放油，下入葱姜蒜，炒香3. 放入西兰花，快炒4. 最后加入盐，味精，翻炒，即可装盘		http://www.haodou.com/recipe/51900
凉拌菜	这个是我家常菜了，就是凉拌的。酸甜可口。	黄瓜, 80g; 芹菜, 10g; 洋葱, 40g; 胡萝卜, 40g	醋, 适量; 鸡精, 适量; 盐, 2勺; 糖, 1/2勺; 酱油, 适量	1. 把黄瓜。胡萝卜，洋葱。芹菜切丝2. 把芹菜开水焯下，3. 加入酱油，凉拌醋，糖，盐鸡精。4. 拌匀即可！	http://www.haodou.com/recipe/52393
蒜苔炒鸡蛋	最喜欢吃蒜苔了，感觉怎么做都好吃，放入锅内一炒那香味就扑鼻而来，感觉又好久没吃鸡蛋了，这次用鸡蛋来炒~平时喜欢炒的很嫩的蒜苔，这次我也特意炒的稍微发皱一点，也一样好吃哦~	蒜苔, 200g; 鸡蛋, 2个	盐, 1勺; 生抽, 1勺; 味精, 1/4勺	1. 鸡蛋两个打散加少许盐。 2. 锅内热油倒入蛋液翻炒。3. 炒好的鸡蛋盛出备用。 4. 锅内热油倒入蒜苔翻炒。 5. 加入适量盐。 6. 加少许生抽。7. 加入几粒味精。 8. 把鸡蛋倒回锅内翻炒均匀即可。	http://www.haodou.com/recipe/51462
